!SESSION 2022-04-02 18:30:03.439 -----------------------------------------------
eclipse.buildId=4.13.1.202201311654
java.version=17.0.1
java.vendor=Eclipse Adoptium
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=en_US
Framework arguments:  -product org.springframework.boot.ide.branding.sts4 -product org.springframework.boot.ide.branding.sts4
Command-line arguments:  -os win32 -ws win32 -arch x86_64 -product org.springframework.boot.ide.branding.sts4 -data C:\Users\sferb\OneDrive\Desktop\FSD softwares\P1\NP1 -product org.springframework.boot.ide.branding.sts4

This is a continuation of log file C:\Users\sferb\OneDrive\Desktop\FSD softwares\P1\NP1\.metadata\.bak_7.log
Created Time: 2022-04-02 19:09:17.738

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.741
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.743
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.745
!MESSAGE buffering callback sts4.classpath.AUdfSUPz finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.748
!MESSAGE buffering callback sts4.classpath.YaXETtpc finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.750
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.753
!MESSAGE buffering callback sts4.classpath.gZmpNnND finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.755
!MESSAGE buffering callback sts4.classpath.BRnmoyiH finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.758
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.761
!MESSAGE buffering callback sts4.classpath.uUauZaUR finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.763
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.766
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.768
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.771
!MESSAGE buffering callback sts4.classpath.CZZwcmtp finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.773
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.776
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.778
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.781
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.783
!MESSAGE buffering callback sts4.classpath.cpeaFHPt finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.786
!MESSAGE buffering callback sts4.classpath.rnSIqzlG finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.788
!MESSAGE buffering callback sts4.classpath.aUkZIuVQ finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.791
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.793
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.795
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.798
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.801
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.804
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.806
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.808
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.811
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.814
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.816
!MESSAGE buffering callback sts4.classpath.yzaFmUhi finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.818
!MESSAGE buffering callback sts4.classpath.tGIEuZXS finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.821
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.823
!MESSAGE buffering callback sts4.classpath.cIuXWbFA finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.826
!MESSAGE buffering callback sts4.classpath.ywLejVcn finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.828
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.831
!MESSAGE buffering callback sts4.classpath.tqTNIRzs finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.833
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.836
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.838
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.841
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.843
!MESSAGE buffering callback sts4.classpath.ogMvRtsD finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.846
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.849
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.851
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.854
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.857
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.859
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.864
!MESSAGE buffering callback sts4.classpath.pwYGUGHj finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.866
!MESSAGE buffering callback sts4.classpath.jKYmJVHd finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.869
!MESSAGE buffering callback sts4.classpath.nuYluOAU finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.871
!MESSAGE buffering callback sts4.classpath.dQKPdDwE finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.874
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.877
!MESSAGE buffering callback sts4.classpath.wXMVUdYH finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.899
!MESSAGE buffering callback sts4.classpath.LfamYxcp finalp1 false 77

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.902
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.905
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.907
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.910
!MESSAGE classpath=77 entries

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.913
!MESSAGE exists = true open = true => deleted = false

!ENTRY org.springframework.tooling.ls.eclipse.commons 1 0 2022-04-02 19:09:17.916
